date,entity,crimes2
2015-01-13,P-018,1.0
2015-01-13,P-044,0.0
2015-01-13,P-075,0.0
2015-01-13,P-043,0.0
2015-01-13,P-040,0.0
2015-01-13,P-109,0.0
2015-01-13,P-007,0.0
2015-01-13,P-023,0.0
2015-01-13,P-103,0.0
2015-01-13,P-019,0.0
2015-01-13,P-041,0.0
2015-01-13,P-113,0.0
2015-01-13,P-047,0.0
2015-01-13,P-049,0.0
2015-01-13,P-062,0.0
2015-01-13,P-045,0.0
2015-01-13,P-067,0.0
2015-01-13,P-104,0.0
2015-01-13,P-083,0.0
2015-01-13,P-094,0.0
2015-01-13,P-121,0.0
2015-01-13,P-005,0.0
2015-01-13,P-025,0.0
2015-01-13,P-046,0.0
2015-01-13,P-110,0.0
2015-01-13,P-061,0.0
2015-01-13,P-081,0.0
2015-01-13,P-105,0.0
2015-01-13,P-115,0.0
2015-01-13,P-107,0.0
2015-01-13,P-013,0.0
2015-01-13,P-020,0.0
2015-01-13,P-050,0.0
2015-01-13,P-079,0.0
2015-01-13,P-001,0.0
2015-01-13,P-006,0.0
2015-01-13,P-014,0.0
2015-01-13,P-072,0.0
2015-01-13,P-073,0.0
2015-01-13,P-048,0.0
2015-01-13,P-114,0.0
2015-01-13,P-122,0.0
2015-01-13,P-052,0.0
2015-01-13,P-078,0.0
2015-01-13,P-077,0.0
2015-01-13,P-026,0.0
2015-01-13,P-108,0.0
2015-01-13,P-070,0.0
2015-01-13,P-069,0.0
2015-01-13,P-120,0.0
2015-01-13,P-063,0.0
2015-01-13,P-071,0.0
2015-01-13,P-084,0.0
2015-01-13,P-009,0.0
2015-01-13,P-068,0.0
2015-01-13,P-076,0.0
2015-01-13,P-066,0.0
2015-01-13,P-017,0.0
2015-01-13,P-042,0.0
2015-01-13,P-088,0.0
2015-01-13,P-032,0.0
2015-01-13,P-060,0.0
2015-01-13,P-102,0.0
2015-01-13,P-028,0.0
2015-01-13,P-090,0.0
2015-01-13,P-112,0.0
2015-01-13,P-010,0.0
2015-01-13,P-106,0.0
2015-01-13,P-024,0.0
2015-01-13,P-101,0.0
2015-01-13,P-030,0.0
2015-01-13,P-033,0.0
2015-01-13,P-034,0.0
2015-01-13,P-111,0.0
2015-01-13,P-100,0.0
2015-01-13,P-123,0.0
2015-01-13,P-022,0.0
2015-01-18,P-018,0.0
2015-01-18,P-044,1.2857142857142858
2015-01-18,P-075,0.0
2015-01-18,P-043,0.0
2015-01-18,P-040,0.0
2015-01-18,P-109,0.0
2015-01-18,P-007,0.0
2015-01-18,P-023,0.0
2015-01-18,P-103,0.0
2015-01-18,P-019,0.0
2015-01-18,P-041,0.0
2015-01-18,P-113,0.0
2015-01-18,P-047,0.0
2015-01-18,P-049,0.0
2015-01-18,P-062,0.0
2015-01-18,P-045,0.0
2015-01-18,P-067,0.0
2015-01-18,P-104,0.0
2015-01-18,P-083,0.0
2015-01-18,P-094,0.0
2015-01-18,P-121,0.0
2015-01-18,P-005,0.0
2015-01-18,P-025,0.0
2015-01-18,P-046,0.0
2015-01-18,P-110,0.0
2015-01-18,P-061,0.0
2015-01-18,P-081,0.0
2015-01-18,P-105,0.0
2015-01-18,P-115,0.0
2015-01-18,P-107,0.0
2015-01-18,P-013,0.0
2015-01-18,P-020,0.0
2015-01-18,P-050,0.0
2015-01-18,P-079,0.0
2015-01-18,P-001,0.0
2015-01-18,P-006,0.0
2015-01-18,P-014,0.0
2015-01-18,P-072,0.0
2015-01-18,P-073,0.0
2015-01-18,P-048,0.0
2015-01-18,P-114,0.0
2015-01-18,P-122,0.0
2015-01-18,P-052,0.0
2015-01-18,P-078,0.0
2015-01-18,P-077,0.0
2015-01-18,P-026,0.0
2015-01-18,P-108,0.0
2015-01-18,P-070,0.0
2015-01-18,P-069,0.0
2015-01-18,P-120,0.0
2015-01-18,P-063,0.0
2015-01-18,P-071,0.0
2015-01-18,P-084,0.0
2015-01-18,P-009,0.0
2015-01-18,P-068,0.0
2015-01-18,P-076,0.0
2015-01-18,P-066,0.0
2015-01-18,P-017,0.0
2015-01-18,P-042,0.0
2015-01-18,P-088,0.0
2015-01-18,P-032,0.0
2015-01-18,P-060,0.0
2015-01-18,P-102,0.0
2015-01-18,P-028,0.0
2015-01-18,P-090,0.0
2015-01-18,P-112,0.0
2015-01-18,P-010,0.0
2015-01-18,P-106,0.0
2015-01-18,P-024,0.0
2015-01-18,P-101,0.0
2015-01-18,P-030,0.0
2015-01-18,P-033,0.0
2015-01-18,P-034,0.0
2015-01-18,P-111,0.0
2015-01-18,P-100,0.0
2015-01-18,P-123,0.0
2015-01-18,P-022,0.0
2015-01-19,P-018,0.0
2015-01-19,P-044,0.0
2015-01-19,P-075,1.2857142857142858
2015-01-19,P-043,0.0
2015-01-19,P-040,0.0
2015-01-19,P-109,0.0
2015-01-19,P-007,0.0
2015-01-19,P-023,0.0
2015-01-19,P-103,0.0
2015-01-19,P-019,0.0
2015-01-19,P-041,0.0
2015-01-19,P-113,0.0
2015-01-19,P-047,0.0
2015-01-19,P-049,0.0
2015-01-19,P-062,0.0
2015-01-19,P-045,0.0
2015-01-19,P-067,0.0
2015-01-19,P-104,0.0
2015-01-19,P-083,0.0
2015-01-19,P-094,0.0
2015-01-19,P-121,0.0
2015-01-19,P-005,0.0
2015-01-19,P-025,0.0
2015-01-19,P-046,0.0
2015-01-19,P-110,0.0
2015-01-19,P-061,0.0
2015-01-19,P-081,0.0
2015-01-19,P-105,0.0
2015-01-19,P-115,0.0
2015-01-19,P-107,0.0
2015-01-19,P-013,0.0
2015-01-19,P-020,0.0
2015-01-19,P-050,0.0
2015-01-19,P-079,0.0
2015-01-19,P-001,0.0
2015-01-19,P-006,0.0
2015-01-19,P-014,0.0
2015-01-19,P-072,0.0
2015-01-19,P-073,0.0
2015-01-19,P-048,0.0
2015-01-19,P-114,0.0
2015-01-19,P-122,0.0
2015-01-19,P-052,0.0
2015-01-19,P-078,0.0
2015-01-19,P-077,0.0
2015-01-19,P-026,0.0
